Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Equipe Dédiée),Custom field (Criticité),Custom field (Eng. Documentation),Custom field (Engagement DIAGNOSTIC),Custom field (Engagement CR),Custom field (Engagement TEST),Custom field (Eng. TEST Supplémentaire),Custom field (Eng. Vérification données),Custom field (Eng. Test P3),Custom field (Eng. Test P2),Custom field (Eng. Test P1),Custom field (Team),Σ Remaining Estimate,Σ Original Estimate,Custom field (Estimation Test),Remaining Estimate,Original estimate,Resolved,Custom field (Story point estimate),Custom field (Story Points),Custom field (Development),Custom field (Eng. Développement P1),Custom field (Eng. Développement P2),Custom field (Eng. Développement P3),Custom field (Engagement DÉVELOPPEMENT),Custom field (Provoqué Par),Custom field (Provoqué Par)Id,Custom field (Scope),Reporter,Reporter Id
Story,AWA-11927,56681,[BonusBox] Vérification OTP pour paiement BonusBox,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,En Revue,28/Nov/25 10:18 PM,équipe support et maintenance,,,,,,,,,,,,28800,28800,,28800,28800,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=7}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":7,""lastUpdated"":""2025-12-15T09:27:38.588+0100"",""stateCount"":7,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":7,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,650,,,Bonus Box,RIADH REZIG,557058:8923b8db-d348-4312-899b-d627ba94cfed
Support,AWA-11926,56680,[Calcul novembre 2025]Les nouveaux coefficients de change pour un chiffre réalisé en Libye,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,28/Nov/25 4:33 PM,équipe support et maintenance,,,,0,,,,,,,,600,600,,600,600,01/Dec/25 5:30 PM,,,{},,,,5m,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-11925,56679,[Tunisie] [Calcul Novembre 2025] : Suivi Staff ARVEA,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,28/Nov/25 4:20 PM,équipe support et maintenance,,,,0,,,,,,,,1200,1200,,1200,1200,03/Dec/25 4:38 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-01T01:50:17.543+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,15m,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-11924,56678,[Tous pays] [Calcul novembre 2025] : Liste staff à accéder au système ARVEA le 01/12/2025,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Déployé,28/Nov/25 4:16 PM,équipe support et maintenance,,,,0,,,,,,,,1800,1800,,1800,1800,02/Dec/25 8:19 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-01T09:37:39.174+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,15m,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-11923,56677,[TN - LY]: AC Boost 30% - 29 novembre 2025,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,28/Nov/25 4:15 PM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,28/Nov/25 5:04 PM,,,{},,,,8,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Bug,AWA-11922,56676,[Bonus Box] : Décalage d’arrondi du Montant Total à Transférer lors du lancement du script de payout,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e,Terminé,28/Nov/25 4:13 PM,équipe support et maintenance,🟡 Medium,,,5m,,,,,,,,10800,10800,,10800,10800,16/Dec/25 4:51 PM,,,{},,,,180m,Haythem Ben Khlifa,712020:638f1130-b998-4f2a-8828-0465fc109e6e,Bonus Box,Nourhen Landolsi,5a82bd98a08cc5310a6c8aac
Bug,AWA-11921,56673,[Tous pays] : Changement pays d'exercice / Configuration de la réception des bonus n'est pas à jour,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Terminé,28/Nov/25 3:59 PM,équipe support et maintenance,🟠 Majeur,,,5m,,,,,,,,3600,3600,,3600,3600,29/Nov/25 11:48 AM,,,{},,,,40,oussama ferjani,712020:6ab35850-0ac4-44c8-ac4b-8dc7b0c015d6,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-11920,56672,"Désactivation du pays "" IRAQ""",Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,28/Nov/25 3:21 PM,équipe support et maintenance,,,,5,,,,,,,,1800,1800,,1800,1800,08/Dec/25 10:30 AM,,,{},,,,90,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Improvement,AWA-11919,56671,[Bonus Box]:  Optimisation de la performance lors de l’action d’ajustement lorsque plusieurs BonusBox sont ajoutés,Wael Dghaies,6149e14a72728e006f96a35e,Déployé,28/Nov/25 3:08 PM,équipe support et maintenance,,,,1,,,,,,,,7200,7200,,7200,7200,01/Dec/25 9:40 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-28T16:20:03.945+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,440,,,Bonus Box,Wael Dghaies,6149e14a72728e006f96a35e
Bug,AWA-11918,56668,[Tous pays] : Ajout id pays au niveau de l'import des ajustement,Wael Dghaies,6149e14a72728e006f96a35e,Déployé,28/Nov/25 2:50 PM,équipe support et maintenance,🟠 Majeur,,,2,,,,,,,,3600,3600,,3600,3600,29/Nov/25 3:35 PM,,,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2025-11-29T11:55:12.000+0100"",""dataType"":""repository""},""byInstanceType"":{""bitbucket"":{""count"":4,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,60,Wael Dghaies,6149e14a72728e006f96a35e,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Support,AWA-11917,56667,[TN] Insertion bon d'achats dans le système / Actions « Gamme miracle» 27-11-2025,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,28/Nov/25 2:47 PM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,28/Nov/25 3:24 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-11-28T15:16:44.006+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,25,,,Demandes support récurrentes,Habib Dhahak,602996a97b23f40068416aa1
Improvement,AWA-11916,56632,[Tous pays]: Affichage du mode de paiement Bonus Box au niveau panier,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Terminé,28/Nov/25 10:49 AM,équipe support et maintenance,,,,5,,,,,,,,7200,7200,,7200,7200,29/Nov/25 9:24 AM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2025-11-28T16:05:47.055+0100"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":2,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,60,,,Bonus Box,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
